#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
500,-729177.2126932084,110926.07404169033,-618251.138651518,237.128793157689,648.2297285467621,0
1000,-705565.9626932084,126532.86681568081,-579033.0958775275,270.49173300326214,648.2297285467621,117
1500,-693908.878971057,132514.68220288906,-561394.1967681679,283.27917433222933,648.2458937871903,116
2000,-689031.53338071,136816.50637918676,-552215.0270015233,292.47526627107004,647.7819662389028,116
2500,-685109.7271883478,137384.37851802877,-547725.3486703191,293.6892174192994,647.7928009000082,115
3000,-683007.2267405321,139025.9678472135,-543981.2588933186,297.1984743713106,647.4556330915331,115
3500,-682575.5653793714,139397.52289746286,-543178.0424819086,297.9927547189966,647.2460113657033,114
4000,-681979.9028271721,140281.82986944937,-541698.0729577227,299.8831546710339,645.4536083166779,114
4500,-682605.7657425241,139629.87943721737,-542975.8863053067,298.4894677445886,642.7158210717669,114
5000,-682681.0886489418,138506.08446947916,-544175.0041794627,296.0871097168782,641.7070845921589,106
5500,-683696.3515010099,139795.17419821434,-543901.1773027956,298.84282152122876,640.8071636547998,106
6000,-683892.9109646925,140301.88809975924,-543591.0228649332,299.92603353416274,640.1833391703154,107
6500,-682911.9686172535,139610.03599531495,-543301.9326219385,298.4470480387523,639.8431144231085,107
7000,-683034.748644135,139743.96114308806,-543290.7875010469,298.7333423923501,638.7576576078001,107
7500,-685060.3097301126,139501.54949262989,-545558.7602374826,298.21513436401125,637.5766690115969,107
8000,-685191.8320335587,140161.64574846998,-545030.1862850888,299.62623477360876,635.9423498182683,108
8500,-685104.8517093253,139569.16151029168,-545535.6901990336,298.359669869208,634.8256963580758,108
9000,-686192.3944238345,140893.9956962336,-545298.3987276009,301.19179328437883,634.447662199214,108
9500,-685725.468256468,139704.47797929903,-546020.9902771689,298.64893847685755,633.3262657076313,108
10000,-686619.8284157361,139001.84682082938,-547617.9815949067,297.146910391195,630.6906854562465,106
10500,-688478.0395009965,138478.26079427695,-549999.7787067195,296.02763051346363,628.2852988880638,106
11000,-689064.0001834733,139917.33694329963,-549146.6632401737,299.1039711613036,627.7487520246349,106
11500,-689093.5143520427,139686.75913834912,-549406.7552136936,298.6110605711721,627.0227499966791,106
12000,-689963.0612103818,140907.28299103168,-549055.7782193501,301.2201977889737,626.1123552181297,107
12500,-687663.7876423923,139180.35502429586,-548483.4326180965,297.52851079689265,625.756549741725,107
13000,-688799.2484858669,139704.20576078293,-549095.042725084,298.64835655012155,625.5837207648376,107
13500,-688470.643120999,139294.88190537016,-549175.7612156288,297.77333710421385,625.0187554031273,107
14000,-688433.0152566726,139427.90554581454,-549005.1097108581,298.0577042883275,624.0559541996492,107
14500,-688870.7671753657,139758.27632549612,-549112.4908498696,298.7639442319769,623.1621666329047,107
15000,-689234.2811639197,139804.4137189538,-549429.867444966,298.86257302168735,621.7798876449159,104
15500,-690940.9388790596,139531.87729464486,-551409.0615844148,298.27996668727764,621.0421778185504,104
16000,-690772.2058891733,139543.34960550076,-551228.8562836726,298.304491265935,620.1543291992598,105
16500,-689943.157170556,139296.43572610634,-550646.7214444496,297.77665873656343,619.7214541548517,105
17000,-690481.6109840306,139304.6215584243,-551176.9894256063,297.794157747101,618.9805022660238,105
17500,-690796.7423753417,138430.04754424974,-552366.6948310919,295.92456412540355,617.4646985069749,105
18000,-691077.8081982895,139459.99175727996,-551617.8164410095,298.12629559715657,616.3166024140762,105
18500,-691604.236155306,139606.16085519182,-551998.0753001142,298.43876407748667,615.2837045073367,105
19000,-691358.906162228,139543.41227025422,-551815.4938919737,298.3046252255788,613.8658085855549,105
19500,-692301.693578749,139510.60526367032,-552791.0883150786,298.2344930592187,611.3160175092962,105
20000,-690706.3637788272,139094.9341526091,-551611.4296262182,297.34590496333584,611.4585386369695,104
20500,-691356.3643893707,138717.6730844099,-552638.6913049608,296.53942675178547,610.857746876777,104
21000,-692700.963861879,139752.076598976,-552948.8872629029,298.7506909578453,610.2412178106816,104
21500,-693693.7162385834,139490.2667126702,-554203.4495259132,298.19101494918107,609.0880000680083,104
22000,-693210.4558843444,139053.61439639796,-554156.8414879465,297.25757492904444,607.4322525077295,104
22500,-694011.6652488331,140429.69964272785,-553581.9656061053,300.1992587176699,605.4114231974198,104
23000,-692472.5152214323,139490.71076224517,-552981.8044591872,298.19196420246277,604.2180561143541,104
23500,-692771.6987347957,140401.28309964028,-552370.4156351554,300.13851212922094,602.5145959562321,104
24000,-692971.4326661793,140045.6025754013,-552925.830090778,299.3781670598482,601.8091832641675,104
24500,-693216.8744347971,139098.34031284717,-554118.5341219499,297.3531863773184,600.4904552858619,104
25000,-692227.8386890055,138897.78374149807,-553330.0549475073,296.92445275328356,600.2479471326601,103
25500,-692865.7008808982,139252.1307807857,-553613.5701001125,297.68194720633426,598.4550607471654,103
26000,-692992.6156313284,139167.76200782193,-553824.8536235065,297.5015904643696,597.852580063541,103
26500,-692237.7805458391,139168.99440561153,-553068.7861402276,297.5042249847298,597.3742369896233,103
27000,-693306.2819950813,138980.11066380347,-554326.1713312778,297.1004445919862,597.2920253602058,103
27500,-693542.4653469506,139783.5629328702,-553758.9024140803,298.81799989690035,595.871986738427,103
28000,-693302.2081173849,139210.14154345824,-554092.0665739267,297.5921860094373,595.1399053942015,103
