#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
500,-693577.6564196148,141956.71072003292,-551620.9456995819,303.4635795460054,556.7079881823922,0
1000,-691470.4706799528,144322.51242913707,-547147.9582508157,308.52099917413915,555.8457392952714,99.4
1500,-691693.4706799528,145647.5483157021,-546045.9223642506,311.35355376859553,555.8457392952714,99
2000,-692639.0504531437,144527.46874867612,-548111.5817044675,308.9591382241525,553.6779338779365,98.7
2500,-692655.5812846636,145116.29035155926,-547539.2909331043,310.2178734429288,552.6191698813343,98.6
3000,-693191.7567158155,144481.57584181544,-548710.1808740001,308.86103207812346,550.6023557072405,98.4
3500,-692348.2899377914,144846.1559228899,-547502.1340149015,309.6404019006056,550.9461909520586,98.3
4000,-691720.4448084179,145265.69696181233,-546454.7478466056,310.53726281540196,549.152165452725,98.2
4500,-692113.4240151467,145529.27617255074,-546584.1478425959,311.1007211427954,547.3251384319245,98
5000,-692478.5616512406,145329.0213453914,-547149.5403058492,310.6726325630946,545.420212810216,94.3
5500,-692425.3446304561,145260.2865792208,-547165.0580512353,310.5256969369055,543.4409143606687,94.6
6000,-693774.7756629023,145127.13373969565,-548647.6419232066,310.24105356144224,543.314603237196,94.7
6500,-694257.2436834872,145068.0939296187,-549189.1497538685,310.1148430285919,542.4387193748503,94.8
7000,-694042.172157492,145609.7214928876,-548432.4506646044,311.27269064492975,542.7189329125229,94.9
7500,-694069.6909950781,143719.47299108238,-550350.2180039957,307.2318702167882,542.6825511370992,95
8000,-694108.8385953247,144816.4667997051,-549292.3717956196,309.57693489330774,542.0881158751623,95
8500,-694259.945755891,145818.44499003352,-548441.5007658575,311.71888286266983,541.8037466518659,95
9000,-693323.7711153459,145537.41811655683,-547786.352998789,311.1181263324481,542.2998468718228,95.1
9500,-695037.9400546374,145254.68094659364,-549783.2591080437,310.5137136686681,541.0636716746017,95.1
10000,-695990.6630231026,144885.27101763187,-551105.3920054707,309.7240189878463,541.1345744656758,90.8
10500,-695029.697422279,144032.74345698307,-550996.953965296,307.90155449212875,540.6258623148295,91
11000,-694754.0765736708,144793.97569648235,-549960.1008771885,309.5288552311537,539.9379085896779,91.1
11500,-694408.4047683356,144245.83560217422,-550162.5691661614,308.3570856524722,539.7600481512758,91.3
12000,-693972.9121690732,144872.31491076923,-549100.597258304,309.6963224700447,540.5970239767747,91.4
12500,-694007.6031087954,144489.72751132742,-549517.8755974679,308.8784580581763,541.8499678481814,91.5
